# Efinity GPIO Pin Assignment
# Version: 2024.2.294.1.19
# Date: 2025-01-23 21:14
#
# Copyright (C) 2013 - 2024 Efinix Inc. All rights reserved.
#
# Device: T20Q100F3
# Package: 100-pin QFP (final)
# Project: efinix
# Configuration mode: active (x1)
# Timing Model: C4 (final)
Package Pin-Pad Name,Instance Name,Mode
52-GPIOB_CLKN0,,
51-GPIOB_CLKP0,,
41-GPIOB_RXN00,,
43-GPIOB_RXN03,,
47-GPIOB_RXN06,,
48-GPIOB_RXN09,,
40-GPIOB_RXP00,,
44-GPIOB_RXP03,,
46-GPIOB_RXP06,,
49-GPIOB_RXP09,,
30-GPIOB_TXN01,,
33-GPIOB_TXN04,,
36-GPIOB_TXN07,,
38-GPIOB_TXN10,,
29-GPIOB_TXP01,,
32-GPIOB_TXP04,,
35-GPIOB_TXP07,,
37-GPIOB_TXP10,,
24-GPIOL_00_SS_N,,
26-GPIOL_01_CCK,,
23-GPIOL_04_CSI,,
22-GPIOL_05_CSO,,
19-GPIOL_08_CDI0,,
18-GPIOL_09_CDI1,,
8-GPIOL_12_CDI2,,
14-GPIOL_13_CDI3,,
10-GPIOL_20_CTRL0_CDI4,D401,output
9-GPIOL_21_CTRL1_CDI5,D402,output
7-GPIOL_24_CLK0,D400,output
5-GPIOL_31_CLK7_CDI6,D404,output
4-GPIOL_32_CTRL4_CDI7,,
3-GPIOL_40_CDI8,,
2-GPIOL_41_CDI9,,
100-GPIOL_46,,
98-GPIOL_53_CDI10,,
99-GPIOL_54_CDI11,,
95-GPIOL_66_CDI12,,
94-GPIOL_67_CDI13,,
93-GPIOL_69_CBSEL1,,
92-GPIOL_70_CBSEL0,,
88-GPIOL_71_NSTATUS,,
89-GPIOL_72_EXTFB0_CDI14,,
87-GPIOL_73_EXTFB1_CDI15,,
86-GPIOL_74_PLLIN0,PLL_IN,input
85-GPIOL_75_PLLIN1,Dnone,output
80-GPIOR_76_PLLIN0,,
79-GPIOR_77_PLLIN1,,
78-GPIOR_78_EXTFB0_CDI31,,
77-GPIOR_79_EXTFB1_CDI30,,
74-GPIOR_87_CDI29,,
73-GPIOR_88_CDI28,,
71-GPIOR_94_CDI27,,
68-GPIOR_116_CTRL15,,
67-GPIOR_117_CTRL14,,
66-GPIOR_122_CLK13_CDI21,,
65-GPIOR_123_CLK12_CDI20,,
63-GPIOR_132_CDI19,,
62-GPIOR_133_CDI18,S101,input
59-GPIOR_149_CBUS2,S100,input
58-GPIOR_150_CBUS1,,
57-GPIOR_151_CBUS0,,
56-GPIOR_154,,
55-GPIOR_155,,
54-GPIOR_157_PLLIN,,
53-GPIOR_158_TEST_N,,
