# Efinity GPIO Pin Assignment
# Version: 2024.2.294.1.19
# Date: 2025-01-21 14:51
#
# Copyright (C) 2013 - 2024 Efinix Inc. All rights reserved.
#
# Device: T20Q144
# Package: 144-pin QFP (final)
# Project: efinix
# Configuration mode: active (x1)
# Timing Model: C4 (final)
Package Pin-Pad Name,Instance Name,Mode
72-GPIOB_CLKN0,,
71-GPIOB_CLKP0,,
56-GPIOB_RXN00,,
59-GPIOB_RXN02,,
60-GPIOB_RXN03,,
65-GPIOB_RXN07,,
68-GPIOB_RXN10,,
69-GPIOB_RXN12_EXTFB0,,
55-GPIOB_RXP00,,
58-GPIOB_RXP02,,
61-GPIOB_RXP03,,
66-GPIOB_RXP07,,
67-GPIOB_RXP10,,
70-GPIOB_RXP12_EXTFB0,,
39-GPIOB_TXN00,,
41-GPIOB_TXN02,,
43-GPIOB_TXN04,,
46-GPIOB_TXN06,,
48-GPIOB_TXN09,,
54-GPIOB_TXN11,,
38-GPIOB_TXP00,,
40-GPIOB_TXP02,,
42-GPIOB_TXP04,,
45-GPIOB_TXP06,,
47-GPIOB_TXP09,,
53-GPIOB_TXP11,,
31-GPIOL_00_SS_N,,
30-GPIOL_01_CCK,,
32-GPIOL_04_CSI,,
33-GPIOL_05_CSO,,
29-GPIOL_08_CDI0,,
28-GPIOL_09_CDI1,,
20-GPIOL_12_CDI2,,
19-GPIOL_13_CDI3,,
18-GPIOL_20_CTRL0_CDI4,D401,output
17-GPIOL_21_CTRL1_CDI5,Dnone,output
16-GPIOL_22_CTRL2,D402,output
15-GPIOL_24_CLK0,D403,output
14-GPIOL_25_CLK1,,
11-GPIOL_31_CLK7_CDI6,,
10-GPIOL_32_CTRL4_CDI7,,
8-GPIOL_40_CDI8,,
7-GPIOL_41_CDI9,,
6-GPIOL_46,,
3-GPIOL_53_CDI10,,
4-GPIOL_54_CDI11,,
144-GPIOL_64,,
141-GPIOL_65,,
142-GPIOL_66_CDI12,,
140-GPIOL_67_CDI13,,
139-GPIOL_68,D400,output
138-GPIOL_69_CBSEL1,,
137-GPIOL_70_CBSEL0,,
136-GPIOL_71_NSTATUS,,
135-GPIOL_72_EXTFB0_CDI14,,
134-GPIOL_73_EXTFB1_CDI15,,
132-GPIOL_74_PLLIN0,PLL_IN,input
131-GPIOL_75_PLLIN1,,
124-GPIOR_76_PLLIN0,,
123-GPIOR_77_PLLIN1,,
119-GPIOR_78_EXTFB0_CDI31,,
118-GPIOR_79_EXTFB1_CDI30,,
117-GPIOR_80,,
116-GPIOR_81_MREFCLK,,
115-GPIOR_82,,
114-GPIOR_83,,
113-GPIOR_84,,
111-GPIOR_85,,
112-GPIOR_86,,
110-GPIOR_87_CDI29,,
109-GPIOR_88_CDI28,,
106-GPIOR_94_CDI27,,
105-GPIOR_95_CDI26,,
103-GPIOR_104_CDI25,,
102-GPIOR_105_CDI24,,
101-GPIOR_112_CDI23,,
100-GPIOR_113_CDI22,,
99-GPIOR_116_CTRL15,,
98-GPIOR_117_CTRL14,,
97-GPIOR_122_CLK13_CDI21,,
93-GPIOR_123_CLK12_CDI20,,
92-GPIOR_125_CLK10,,
90-GPIOR_128_CTRL11,,
89-GPIOR_129_CTRL10,S101,input
87-GPIOR_132_CDI19,S100,input
86-GPIOR_133_CDI18,,
84-GPIOR_135_CDI17,,
83-GPIOR_136_CDI16,,
82-GPIOR_138,,
81-GPIOR_139,,
80-GPIOR_149_CBUS2,,
79-GPIOR_150_CBUS1,,
78-GPIOR_151_CBUS0,,
77-GPIOR_154,,
76-GPIOR_155,,
75-GPIOR_157_PLLIN,,
74-GPIOR_158_TEST_N,,
